"skill","salary"
"matlab","98500"
"sql","105000"
"python","105000"
"tableau","105000"
"power bi","105000"
"excel","77500"
"tableau","77500"
"python","74050"
"r","74050"
"sql","84000"
"sql server","84000"
"tableau","84000"
"ssrs","84000"
"python","170000"
"matlab","170000"
"excel","84150"
"word","84150"
"python","165000"
"mysql","165000"
"aws","165000"
"sql","125000"
"excel","125000"
"tableau","125000"
"qlik","125000"
"sheets","125000"
"powerpoint","125000"
"flow","125000"
"flow","90000"
"sql","75000"
"excel","75000"
"sql","115000"
"excel","115000"
"tableau","115000"
"power bi","115000"
"ssis","115000"
"sharepoint","115000"
"powerpoint","115000"
"ssrs","115000"
"sql","66169"
"python","66169"
"go","66169"
"python","70000"
"planner","70000"
"sql","75000"
"jira","75000"
"sql","115000"
"python","115000"
"sql","79500"
"excel","79500"
"microstrategy","79500"
"tableau","87855"
"sql","115000"
"python","115000"
"java","115000"
"c#","115000"
"powershell","115000"
"sql server","115000"
"ssis","115000"
"jira","115000"
"sql","115000"
"python","115000"
"pandas","115000"
"numpy","115000"
"matplotlib","115000"
"plotly","115000"
"excel","115000"
"tableau","115000"
"powerpoint","115000"
"windows","35000"
"excel","35000"
"tableau","35000"
"power bi","35000"
"word","35000"
"powerpoint","35000"
"python","90000"
"git","90000"
"github","90000"
"sql","150000"
"python","150000"
"aws","150000"
"excel","150000"
"tableau","150000"
"sql","83500"
"python","83500"
"sas","83500"
"javascript","83500"
"excel","83500"
"tableau","83500"
"sas","83500"
"spss","83500"
"sql","81500"
"looker","81500"
"sql","82500"
"python","82500"
"r","82500"
"sas","82500"
"tableau","82500"
"power bi","82500"
"looker","82500"
"sas","82500"
"qlik","82500"
"python","210267"
"aws","210267"
"git","210267"
"sql","175000"
"python","175000"
"r","175000"
"excel","175000"
"tableau","175000"
"ms access","175000"
"sql","90000"
"sql server","90000"
"snowflake","90000"
"tableau","90000"
"power bi","90000"
"excel","111175"
"tableau","111175"
"power bi","111175"
"powerpoint","111175"
"python","109500"
"shell","109500"
"spring","109500"
"linux","109500"
"windows","109500"
"git","109500"
"atlassian","109500"
"jira","109500"
"confluence","109500"
"sql","45000"
"tableau","45000"
"sheets","45000"
"sql","80080"
"python","80080"
"crystal","80080"
"sql server","80080"
"excel","80080"
"tableau","80080"
"power bi","80080"
"flow","80080"
"sql","107500"
"python","107500"
"power bi","107500"
"sap","107500"
"excel","54233"
"word","54233"
"sql","67500"
"go","67500"
"excel","67500"
"flow","67500"
"sql","89100"
"azure","89100"
"excel","89100"
"sql","53014"
"gcp","53014"
"excel","120000"
"powerpoint","120000"
"sql","115000"
"sql","112500"
"python","112500"
"r","112500"
"sas","112500"
"javascript","112500"
"excel","112500"
"tableau","112500"
"sas","112500"
"spss","112500"
"sql","100000"
"r","100000"
"matlab","100000"
"numpy","100000"
"flow","100000"
"sql","130000"
"nosql","130000"
"azure","130000"
"excel","130000"
"tableau","130000"
"power bi","130000"
"flow","130000"
"python","132500"
"pandas","132500"
"numpy","132500"
"scikit-learn","132500"
"sql","45000"
"sql server","45000"
"excel","45000"
"spreadsheet","45000"
"tableau","80000"
"flow","70000"
"sql","52500"
"sql server","52500"
"excel","52500"
"sql","76711"
"c","76711"
"mysql","76711"
"postgresql","76711"
"sql server","76711"
"azure","76711"
"redshift","76711"
"oracle","76711"
"snowflake","76711"
"gdpr","76711"
"ssis","76711"
"sql","120000"
"python","120000"
"r","120000"
"sas","120000"
"sql server","120000"
"sas","120000"
"python","98000"
"oracle","98000"
"tableau","98000"
"power bi","98000"
"word","98000"
"cognos","98000"
"alteryx","98000"
"git","98000"
"jira","98000"
"confluence","98000"
"aws","125000"
"redshift","125000"
"snowflake","125000"
"sap","125000"
"sql","75068"
"python","75068"
"r","75068"
"hadoop","75068"
"excel","75068"
"sql","65085"
"python","65085"
"vba","65085"
"excel","65085"
"word","65085"
"powerpoint","65085"
"outlook","65085"
"sql","78740"
"python","78740"
"bigquery","78740"
"git","78740"
"excel","53000"
"word","53000"
"powerpoint","53000"
"outlook","53000"
"sql","87500"
"javascript","87500"
"looker","87500"
"python","187875"
"r","187875"
"go","187875"
"sap","74500"
"sql","95000"
"python","95000"
"sas","95000"
"excel","95000"
"power bi","95000"
"dax","95000"
"sas","95000"
"sap","95000"
"sql","90000"
"python","90000"
"airflow","90000"
"tableau","90000"
"excel","80000"
"word","80000"
"powerpoint","80000"
"outlook","80000"
"ms access","80000"
"sql","110000"
"python","110000"
"excel","110000"
"tableau","110000"
"word","110000"
"powerpoint","110000"
"sql","65000"
"sas","65000"
"windows","83105"
"excel","83105"
"word","83105"
"sql","80000"
"r","80000"
"excel","80000"
"power bi","80000"
"crystal","50000"
"excel","50000"
"powerpoint","50000"
"sql","105000"
"python","105000"
"r","105000"
"spark","105000"
"hadoop","105000"
"tableau","105000"
"power bi","105000"
"sql","82500"
"go","51014"
"excel","51014"
"sql","62500"
"python","62500"
"r","62500"
"bigquery","62500"
"tableau","62500"
"looker","62500"
"sheets","62500"
"sql","39500"
"looker","39500"
"sql","75000"
"python","75000"
"tableau","75000"
"excel","55000"
"windows","49386"
"excel","49386"
"word","49386"
"outlook","49386"
"sql","82000"
"sql","97500"
"python","97500"
"sas","97500"
"excel","97500"
"sas","97500"
"sql","125000"
"sql","100000"
"python","100000"
"excel","100000"
"power bi","100000"
"python","100000"
"java","100000"
"go","100000"
"pandas","100000"
"numpy","100000"
"tensorflow","100000"
"pytorch","100000"
"scikit-learn","100000"
"excel","100000"
"sql","85600"
"python","85600"
"r","85600"
"airflow","85600"
"tableau","85600"
"power bi","85600"
"excel","80850"
"excel","51014"
"sql","101500"
"python","101500"
"r","101500"
"azure","101500"
"sql","95150"
"sas","95150"
"excel","95150"
"sas","95150"
"sql","60000"
"t-sql","60000"
"crystal","60000"
"sql server","60000"
"excel","60000"
"power bi","60000"
"ssrs","60000"
"sql","92000"
"python","92000"
"tableau","92000"
"excel","137000"
"powerpoint","137000"
"sql","111800"
"python","111800"
"java","111800"
"javascript","111800"
"c++","111800"
"matlab","111800"
"perl","111800"
"mysql","111800"
"linux","111800"
"sql","67500"
"sas","67500"
"excel","67500"
"sas","67500"
"word","67500"
"sql","82500"
"excel","82500"
"tableau","82500"
"excel","105000"
"sql","98500"
"excel","98500"
"tableau","98500"
"sql","80000"
"javascript","80000"
"tableau","80000"
"excel","90000"
"sql","92550"
"excel","92550"
"sql","86733"
"r","86733"
"tableau","86733"
"alteryx","86733"
"python","150000"
"r","150000"
"tableau","150000"
"power bi","150000"
"looker","150000"
"excel","65000"
"sap","65000"
"powerpoint","65000"
"word","91700"
"spreadsheet","91700"
"sql","81312"
"hadoop","81312"
"sql","125000"
"mysql","125000"
"tableau","125000"
"zoom","125000"
"sql","90000"
"python","90000"
"sql","120624"
"tableau","120624"
"power bi","120624"
"sql","111175"
"python","111175"
"r","111175"
"bigquery","111175"
"sql","72500"
"python","72500"
"c++","72500"
"vba","72500"
"excel","72500"
"word","72500"
"powerpoint","72500"
"tableau","118606"
"word","118606"
"sql","111175"
"python","111175"
"r","111175"
"bigquery","111175"
"express","111175"
"flow","111175"
"sql","40000"
"tableau","40000"
"sheets","40000"
"sql","100000"
"python","100000"
"r","100000"
"databricks","100000"
"aws","100000"
"excel","100000"
"tableau","100000"
"kubernetes","100000"
"docker","100000"
"sql","125000"
"python","125000"
"r","125000"
